observation_date	PCEPILFE_PC1_20000801	PCEPILFE_PC1_20000828	PCEPILFE_PC1_20000929	PCEPILFE_PC1_20001030	PCEPILFE_PC1_20001130	PCEPILFE_PC1_20001222	PCEPILFE_PC1_20010201	PCEPILFE_PC1_20010301	PCEPILFE_PC1_20010330	PCEPILFE_PC1_20010430	PCEPILFE_PC1_20010529	PCEPILFE_PC1_20010702	PCEPILFE_PC1_20010731	PCEPILFE_PC1_20010830	PCEPILFE_PC1_20011001	PCEPILFE_PC1_20011101	PCEPILFE_PC1_20011203	PCEPILFE_PC1_20011221	PCEPILFE_PC1_20020131	PCEPILFE_PC1_20020301	PCEPILFE_PC1_20020329	PCEPILFE_PC1_20020429	PCEPILFE_PC1_20020528	PCEPILFE_PC1_20020628	PCEPILFE_PC1_20020802	PCEPILFE_PC1_20020830	PCEPILFE_PC1_20020930	PCEPILFE_PC1_20021101	PCEPILFE_PC1_20021127	PCEPILFE_PC1_20021223	PCEPILFE_PC1_20030131	PCEPILFE_PC1_20030303	PCEPILFE_PC1_20030328	PCEPILFE_PC1_20030428	PCEPILFE_PC1_20030530	PCEPILFE_PC1_20030627	PCEPILFE_PC1_20030801	PCEPILFE_PC1_20030829	PCEPILFE_PC1_20030929	PCEPILFE_PC1_20031031	PCEPILFE_PC1_20031126	PCEPILFE_PC1_20031223	PCEPILFE_PC1_20040105	PCEPILFE_PC1_20040202	PCEPILFE_PC1_20040301	PCEPILFE_PC1_20040326	PCEPILFE_PC1_20040430	PCEPILFE_PC1_20040528	PCEPILFE_PC1_20040628	PCEPILFE_PC1_20040803	PCEPILFE_PC1_20040830	PCEPILFE_PC1_20040930	PCEPILFE_PC1_20041101	PCEPILFE_PC1_20041201	PCEPILFE_PC1_20041223	PCEPILFE_PC1_20050131	PCEPILFE_PC1_20050228	PCEPILFE_PC1_20050331	PCEPILFE_PC1_20050429	PCEPILFE_PC1_20050527	PCEPILFE_PC1_20050630	PCEPILFE_PC1_20050802	PCEPILFE_PC1_20050901	PCEPILFE_PC1_20050930	PCEPILFE_PC1_20051031	PCEPILFE_PC1_20051201	PCEPILFE_PC1_20051222	PCEPILFE_PC1_20060130	PCEPILFE_PC1_20060301	PCEPILFE_PC1_20060331	PCEPILFE_PC1_20060501	PCEPILFE_PC1_20060526	PCEPILFE_PC1_20060630	PCEPILFE_PC1_20060801	PCEPILFE_PC1_20060831	PCEPILFE_PC1_20060929	PCEPILFE_PC1_20061030	PCEPILFE_PC1_20061130	PCEPILFE_PC1_20061222	PCEPILFE_PC1_20070201	PCEPILFE_PC1_20070301	PCEPILFE_PC1_20070330	PCEPILFE_PC1_20070430	PCEPILFE_PC1_20070601	PCEPILFE_PC1_20070629	PCEPILFE_PC1_20070731	PCEPILFE_PC1_20070831	PCEPILFE_PC1_20070928	PCEPILFE_PC1_20071101	PCEPILFE_PC1_20071130	PCEPILFE_PC1_20071221	PCEPILFE_PC1_20080131	PCEPILFE_PC1_20080229	PCEPILFE_PC1_20080328	PCEPILFE_PC1_20080501	PCEPILFE_PC1_20080530	PCEPILFE_PC1_20080627	PCEPILFE_PC1_20080804	PCEPILFE_PC1_20080829	PCEPILFE_PC1_20080929	PCEPILFE_PC1_20081031	PCEPILFE_PC1_20081126	PCEPILFE_PC1_20081224	PCEPILFE_PC1_20090202	PCEPILFE_PC1_20090302	PCEPILFE_PC1_20090327	PCEPILFE_PC1_20090430	PCEPILFE_PC1_20090601	PCEPILFE_PC1_20090626	PCEPILFE_PC1_20090804	PCEPILFE_PC1_20090805	PCEPILFE_PC1_20090828	PCEPILFE_PC1_20091001	PCEPILFE_PC1_20091030	PCEPILFE_PC1_20091125	PCEPILFE_PC1_20091223	PCEPILFE_PC1_20100201	PCEPILFE_PC1_20100301	PCEPILFE_PC1_20100329	PCEPILFE_PC1_20100503	PCEPILFE_PC1_20100528	PCEPILFE_PC1_20100628	PCEPILFE_PC1_20100803	PCEPILFE_PC1_20100830	PCEPILFE_PC1_20101001	PCEPILFE_PC1_20101101	PCEPILFE_PC1_20101124	PCEPILFE_PC1_20101223	PCEPILFE_PC1_20110131	PCEPILFE_PC1_20110228	PCEPILFE_PC1_20110328	PCEPILFE_PC1_20110429	PCEPILFE_PC1_20110527	PCEPILFE_PC1_20110627	PCEPILFE_PC1_20110802	PCEPILFE_PC1_20110829	PCEPILFE_PC1_20110930	PCEPILFE_PC1_20111028	PCEPILFE_PC1_20111123	PCEPILFE_PC1_20111223	PCEPILFE_PC1_20120130	PCEPILFE_PC1_20120301	PCEPILFE_PC1_20120330	PCEPILFE_PC1_20120430	PCEPILFE_PC1_20120601	PCEPILFE_PC1_20120629	PCEPILFE_PC1_20120731	PCEPILFE_PC1_20120830	PCEPILFE_PC1_20120928	PCEPILFE_PC1_20121029	PCEPILFE_PC1_20121130	PCEPILFE_PC1_20121221	PCEPILFE_PC1_20130131	PCEPILFE_PC1_20130301	PCEPILFE_PC1_20130329	PCEPILFE_PC1_20130429	PCEPILFE_PC1_20130531	PCEPILFE_PC1_20130627	PCEPILFE_PC1_20130802	PCEPILFE_PC1_20130830	PCEPILFE_PC1_20130927	PCEPILFE_PC1_20131108	PCEPILFE_PC1_20131206	PCEPILFE_PC1_20131223	PCEPILFE_PC1_20140131	PCEPILFE_PC1_20140303	PCEPILFE_PC1_20140328	PCEPILFE_PC1_20140501	PCEPILFE_PC1_20140530	PCEPILFE_PC1_20140626	PCEPILFE_PC1_20140801	PCEPILFE_PC1_20140829	PCEPILFE_PC1_20140929	PCEPILFE_PC1_20141031	PCEPILFE_PC1_20141126	PCEPILFE_PC1_20141223	PCEPILFE_PC1_20150202	PCEPILFE_PC1_20150302	PCEPILFE_PC1_20150330	PCEPILFE_PC1_20150430	PCEPILFE_PC1_20150601	PCEPILFE_PC1_20150625	PCEPILFE_PC1_20150803	PCEPILFE_PC1_20150828	PCEPILFE_PC1_20150928	PCEPILFE_PC1_20151030	PCEPILFE_PC1_20151125	PCEPILFE_PC1_20151223	PCEPILFE_PC1_20160201	PCEPILFE_PC1_20160226	PCEPILFE_PC1_20160328	PCEPILFE_PC1_20160429	PCEPILFE_PC1_20160531	PCEPILFE_PC1_20160629	PCEPILFE_PC1_20160802	PCEPILFE_PC1_20160829	PCEPILFE_PC1_20160930	PCEPILFE_PC1_20161031	PCEPILFE_PC1_20161130	PCEPILFE_PC1_20161222	PCEPILFE_PC1_20170130	PCEPILFE_PC1_20170301	PCEPILFE_PC1_20170331	PCEPILFE_PC1_20170501	PCEPILFE_PC1_20170530	PCEPILFE_PC1_20170630	PCEPILFE_PC1_20170801	PCEPILFE_PC1_20170831	PCEPILFE_PC1_20170929	PCEPILFE_PC1_20171030	PCEPILFE_PC1_20171130	PCEPILFE_PC1_20171222	PCEPILFE_PC1_20180129	PCEPILFE_PC1_20180301	PCEPILFE_PC1_20180329	PCEPILFE_PC1_20180430	PCEPILFE_PC1_20180531	PCEPILFE_PC1_20180629	PCEPILFE_PC1_20180731	PCEPILFE_PC1_20180830	PCEPILFE_PC1_20180928	PCEPILFE_PC1_20181029	PCEPILFE_PC1_20181129	PCEPILFE_PC1_20181221	PCEPILFE_PC1_20190301	PCEPILFE_PC1_20190329	PCEPILFE_PC1_20190429	PCEPILFE_PC1_20190531	PCEPILFE_PC1_20190628	PCEPILFE_PC1_20190730	PCEPILFE_PC1_20190830	PCEPILFE_PC1_20190927	PCEPILFE_PC1_20191031	PCEPILFE_PC1_20191127	PCEPILFE_PC1_20191220	PCEPILFE_PC1_20200131	PCEPILFE_PC1_20200228	PCEPILFE_PC1_20200327	PCEPILFE_PC1_20200430	PCEPILFE_PC1_20200529	PCEPILFE_PC1_20200626	PCEPILFE_PC1_20200731	PCEPILFE_PC1_20200828	PCEPILFE_PC1_20201001	PCEPILFE_PC1_20201030	PCEPILFE_PC1_20201125	PCEPILFE_PC1_20201223	PCEPILFE_PC1_20210129	PCEPILFE_PC1_20210226
1959-01-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-02-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-03-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-04-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-05-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-06-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-07-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-08-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-09-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1959-10-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
