Deadline and Release Dates for the Survey of Professional Forecasters
True deadline and news release dates for surveys prior to 1990:Q2 are not known.


Survey         True Deadline Date       News Release Date

1990 Q2             8/23/90*            8/31/90*
     Q3             8/23/90             8/31/90
     Q4             11/22/90            11/28/90

1991 Q1             2/16/91             2/21/91
     Q2             5/18/91             5/24/91
     Q3             8/18/91             8/21/91
     Q4             11/16/91            11/21/91

1992 Q1             2/22/92             2/26/92
     Q2             5/15/92             5/22/92
     Q3             8/21/92             8/27/92
     Q4             11/20/92            11/30/92

1993 Q1             2/19/93             3/1/93
     Q2             5/20/93             6/1/93
     Q3             8/19/93             8/30/93
     Q4             11/23/93            11/29/93

1994 Q1             2/21/94             2/28/94
     Q2             5/18/94             5/25/94
     Q3             8/18/94             8/24/94
     Q4             11/18/94            11/28/94

1995 Q1             2/21/95             2/24/95
     Q2             5/22/95             5/26/95
     Q3             8/22/95             8/25/95
     Q4             11/20/95            11/27/95

1996 Q1             3/2/96**            3/11/96**
     Q2             5/18/96             5/24/96
     Q3             8/21/96             8/27/96
     Q4             11/18/96            11/26/96

1997 Q1             2/19/97             2/26/97
     Q2             5/17/97             5/28/97
     Q3             8/16/97             8/26/97
     Q4             11/19/97            11/24/97 

1998 Q1             2/18/98             2/23/98
     Q2             5/16/98             5/22/98
     Q3             8/15/98             8/21/98
     Q4             11/14/98            11/20/98 

1999 Q1             2/16/99             2/22/99
     Q2             5/15/99             5/21/99
     Q3             8/14/99             8/23/99
     Q4             11/13/99            11/19/99

2000 Q1             2/12/00             2/22/00
     Q2             5/13/00             5/22/00
     Q3             8/12/00             8/21/00
     Q4             11/11/00            11/20/00

2001 Q1             2/14/01             2/20/01
     Q2             5/12/01             5/21/01
     Q3             8/15/01             8/23/01
     Q4             11/14/01            11/20/01

2002 Q1             2/12/02             2/22/02
     Q2             5/13/02             5/21/02
     Q3             8/14/02             8/22/02
     Q4             11/13/02            11/22/02 

2003 Q1             2/14/03             2/24/03
     Q2             5/12/03             5/20/03
     Q3             8/16/03             8/22/03
     Q4             11/14/03            11/24/03 

2004 Q1             2/14/04             2/23/04
     Q2             5/14/04             5/24/04 
     Q3             8/13/04             8/20/04
     Q4             11/13/04            11/22/04

2005 Q1             2/9/05              2/14/05
     Q2             5/12/05             5/16/05
     Q3             8/11/05             8/15/05
     Q4             11/8/05             11/14/05

2006 Q1             2/8/06              2/13/06
     Q2             5/10/06             5/15/06
     Q3             8/9/06              8/14/06   
     Q4             11/8/06             11/13/06  

2007 Q1             2/8/07              2/13/07
     Q2             5/9/07              5/14/07
     Q3		    8/8/07		8/14/07
     Q4		    11/7/07             11/13/07
 
2008 Q1             2/7/08              2/12/08
     Q2             5/8/08              5/13/08
     Q3             8/7/08              8/12/08
     Q4             11/10/08            11/17/08

2009 Q1             2/10/09             2/13/09
     Q2		    5/12/09             5/15/09  
     Q3		    8/11/09             8/14/09  
     Q4		    11/10/09            11/16/09

2010 Q1             2/9/10              2/12/10
     Q2		    5/11/10             5/14/10  
     Q3		    8/10/10             8/13/10
     Q4             11/9/10             11/15/10     

2011 Q1             2/8/11              2/11/11
     Q2             5/10/11             5/13/11 
     Q3		    8/8/11              8/12/11
     Q4             11/8/11             11/14/11  

2012 Q1             2/7/12              2/10/12
     Q2             5/8/12 		5/11/12
     Q3             8/7/12              8/10/12  
     Q4             11/6/12             11/9/12 
     
2013 Q1             2/11/13             2/15/13
     Q2             5/7/13              5/10/13        
     Q3	            8/12/13		8/16/13
     Q4             11/18/13**          11/25/13** 
	
2014 Q1             2/10/14             2/14/14
     Q2             5/11/14             5/16/14
     Q3		    8/11/14             8/15/14
     Q4             11/10/14            11/17/14

2015 Q1             2/10/15             2/13/15
     Q2             5/12/15             5/15/15 
     Q3             8/11/15             8/14/15
     Q4             11/10/15            11/13/15

2016 Q1             2/9/16              2/12/16
     Q2             5/10/16             5/13/16
     Q3             8/9/16              8/12/16
     Q4             11/8/16             11/14/16 

2017 Q1             2/7/17              2/10/17
     Q2             5/9/17              5/12/17
     Q3		    8/8/17		8/11/17
     Q4		    11/7/17		11/13/17	

2018 Q1             2/6/18              2/9/18
     Q2             5/8/18              5/11/18
     Q3             8/7/18              8/10/18
     Q4             11/6/18             11/13/18

2019 Q1             3/12/19**           3/22/19**
     Q2             5/7/19              5/10/19
     Q3             8/6/19              8/9/19
     Q4             11/11/19            11/15/19

2020 Q1             2/11/20             2/14/20
     Q2             5/12/20             5/15/20
     Q3             8/12/20             8/14/20
     Q4             11/10/20            11/16/20

2021 Q1             2/9/21              2/12/21
     Q2             5/12/21             5/14/21
     Q3             8/10/21             8/13/21

*The 1990Q2 survey was not taken in real time, because the Philadelphia Fed had not yet 
 taken over the survey. Forecasters were asked to provide dated forecasts from May 1990.

**The 2019Q1, 2013Q4, and 1996Q1 surveys were all delayed because of federal government 
 shutdowns, which in turn delayed the release of government statistical data.


