date,lg,g,g1,g2,lp,p,p1,p2,corepce,trend,actual,gdpgap,lftd,ftd,lftd2,ftd2,lr,r,simple.shock,linear.shock,bert.shock,simple.shock.8,linear.shock.8,bert.shock.8
2/2/2000,4.271321462,4.246350702,3.688109337,2.235484411,1.309916553,1.607281177,1.6192,1.7789,,3.256565204,4.158666882,0.902101678,0,1,0,1,5.5,5.75,0.102652443,-0.087007742,0.109608969,,,
3/21/2000,4.271321462,4.523512565,3.123996056,3.071207158,1.309916553,1.597598761,1.7649,1.7072,,3.25681439,4.424186073,1.167371683,1,1,1,1,5.75,6,0.137563088,0.051880104,0.129442495,,,
5/16/2000,4.603275653,5.035789667,3.123996056,3.071207158,1.594048884,1.75910795,1.7649,1.7072,,3.227733064,4.913096006,1.685362943,1,1,1,2,6,6.5,0.077203679,0.113788246,0.11567542,,,
6/28/2000,4.603275653,5.036936772,4.136164078,3.554836664,1.594048884,1.75910795,2.4403,2.0589,,3.227734076,4.914188109,1.686454033,1,0,2,0,6.5,6.5,0.025447914,0.052593326,-0.003297057,,,
8/22/2000,5.289805269,5.984151562,4.136164078,3.554836664,1.841726619,2.102647424,2.4403,2.0589,1.586158333,3.232745057,5.811938338,2.579193281,0,0,0,0,6.5,6.5,0.12396511,-0.061224618,-0.070566225,,,
10/3/2000,5.289805269,6.09914382,3.355964249,3.18315951,1.841726619,2.073974959,2.1514,2.2534,1.6063025,3.232844345,5.920379004,2.68753466,0,0,0,0,6.5,6.5,0.062410239,-0.100021123,-0.246611176,,,
11/15/2000,6.09914382,5.349322913,3.355964249,3.18315951,2.073974959,2.316491897,2.1514,2.2534,1.613659167,3.23491499,5.211152722,1.976237732,0,0,0,0,6.5,6.5,-0.018704934,-0.094917555,-0.278329296,,,
12/19/2000,6.09914382,5.251633767,3.209780222,3.274146716,2.073974959,2.29742612,2.1413,2.2429,1.617845833,3.234831071,5.118380918,1.883549847,0,0,0,0,6.5,6.5,-0.290615868,-0.120589312,-0.295468554,,,
1/3/2001,6.09914382,5.206719217,3.209780222,3.274146716,2.073974959,2.211630124,2.1413,2.2429,1.588158333,3.234792461,5.075698316,1.840905854,0,-1,0,-2,6.5,6,-0.106781429,0.012588324,-0.389517845,0.102652443,-0.087007742,0.109608969
1/31/2001,6.09914382,5.206719217,3.209780222,3.274146716,2.073974959,2.211630124,2.1413,2.2429,1.588158333,3.234792461,5.075698316,1.840905854,-1,-1,-2,-2,6,5.5,-0.118518189,-0.01222476,-0.08072501,0.137563088,0.051880104,0.129442495
3/20/2001,5.206719217,3.413656829,0.842418763,2.141870018,2.211630124,2.2979774,2.3589,1.8952,1.630686667,3.23619501,3.356684501,0.120489491,-1,-1,-2,-2,5.5,5,0.11581612,-0.012049344,0.038116044,0.077203679,0.113788246,0.11567542
4/18/2001,5.206719217,3.408152706,0.842418763,2.141870018,2.211630124,2.316968949,2.3589,1.8952,1.630945,3.236190253,3.351361927,0.115171674,-1,-1,-2,-2,5,4.5,-0.244105241,-0.501185106,-0.063735146,0.025447914,0.052593326,-0.003297057
