observation_date,JCXFE_19990729,JCXFE_19990826,JCXFE_19990930,JCXFE_19991030,JCXFE_19991124,JCXFE_19991222,JCXFE_20000128,JCXFE_20000225,JCXFE_20000330,JCXFE_20000403,JCXFE_20000427,JCXFE_20000525,JCXFE_20000629,JCXFE_20000728,JCXFE_20000825,JCXFE_20000928,JCXFE_20001027,JCXFE_20001129,JCXFE_20001221,JCXFE_20010131,JCXFE_20010228,JCXFE_20010427,JCXFE_20010525,JCXFE_20010727,JCXFE_20010829,JCXFE_20010928,JCXFE_20011031,JCXFE_20011130,JCXFE_20011221,JCXFE_20020130,JCXFE_20020228,JCXFE_20020328,JCXFE_20020426,JCXFE_20020524,JCXFE_20020627,JCXFE_20020731,JCXFE_20020829,JCXFE_20020927,JCXFE_20021031,JCXFE_20021126,JCXFE_20021220,JCXFE_20030130,JCXFE_20030228,JCXFE_20030327,JCXFE_20030425,JCXFE_20030529,JCXFE_20030731,JCXFE_20030828,JCXFE_20030926,JCXFE_20031030,JCXFE_20031125,JCXFE_20031211,JCXFE_20031223,JCXFE_20040130,JCXFE_20040227,JCXFE_20040325,JCXFE_20040429,JCXFE_20040527,JCXFE_20040625,JCXFE_20040730,JCXFE_20040827,JCXFE_20040929,JCXFE_20041029,JCXFE_20041130,JCXFE_20041222,JCXFE_20050128,JCXFE_20050225,JCXFE_20050330,JCXFE_20050428,JCXFE_20050526,JCXFE_20050629,JCXFE_20050729,JCXFE_20050831,JCXFE_20050929,JCXFE_20051028,JCXFE_20051130,JCXFE_20051221,JCXFE_20060127,JCXFE_20060228,JCXFE_20060330,JCXFE_20060428,JCXFE_20060525,JCXFE_20060629,JCXFE_20060728,JCXFE_20060830,JCXFE_20060928,JCXFE_20061027,JCXFE_20061129,JCXFE_20061221,JCXFE_20070131,JCXFE_20070228,JCXFE_20070329,JCXFE_20070427,JCXFE_20070531,JCXFE_20070628,JCXFE_20070727,JCXFE_20070830,JCXFE_20070927,JCXFE_20071031,JCXFE_20071129,JCXFE_20071220,JCXFE_20080130,JCXFE_20080228,JCXFE_20080327,JCXFE_20080430,JCXFE_20080529,JCXFE_20080626,JCXFE_20080731,JCXFE_20080926,JCXFE_20081030,JCXFE_20081125,JCXFE_20081223,JCXFE_20090130,JCXFE_20090227,JCXFE_20090326,JCXFE_20090429,JCXFE_20090529,JCXFE_20090625,JCXFE_20090731,JCXFE_20090805,JCXFE_20090827,JCXFE_20090930,JCXFE_20091029,JCXFE_20091124,JCXFE_20091222,JCXFE_20100129,JCXFE_20100226,JCXFE_20100326,JCXFE_20100430,JCXFE_20100527,JCXFE_20100625,JCXFE_20100730,JCXFE_20100827,JCXFE_20100930,JCXFE_20101029,JCXFE_20101123,JCXFE_20101222,JCXFE_20110128,JCXFE_20110225,JCXFE_20110325,JCXFE_20110428,JCXFE_20110526,JCXFE_20110624,JCXFE_20110729,JCXFE_20110826,JCXFE_20110929,JCXFE_20111027,JCXFE_20111122,JCXFE_20111222,JCXFE_20120127,JCXFE_20120229,JCXFE_20120329,JCXFE_20120427,JCXFE_20120531,JCXFE_20120628,JCXFE_20120727,JCXFE_20120829,JCXFE_20120927,JCXFE_20121026,JCXFE_20121129,JCXFE_20121220,JCXFE_20130130,JCXFE_20130228,JCXFE_20130328,JCXFE_20130426,JCXFE_20130530,JCXFE_20130626,JCXFE_20130731,JCXFE_20130829,JCXFE_20130926,JCXFE_20131107,JCXFE_20131205,JCXFE_20131220,JCXFE_20140130,JCXFE_20140228,JCXFE_20140327,JCXFE_20140430,JCXFE_20140529,JCXFE_20140625,JCXFE_20140730,JCXFE_20140926,JCXFE_20141030,JCXFE_20141125,JCXFE_20141223,JCXFE_20150130,JCXFE_20150227,JCXFE_20150327,JCXFE_20150429,JCXFE_20150529,JCXFE_20150624,JCXFE_20150730,JCXFE_20150827,JCXFE_20150925,JCXFE_20151029,JCXFE_20151124,JCXFE_20151222,JCXFE_20160129,JCXFE_20160226,JCXFE_20160325,JCXFE_20160428,JCXFE_20160527,JCXFE_20160628,JCXFE_20160729,JCXFE_20160826,JCXFE_20160929,JCXFE_20161028,JCXFE_20161129,JCXFE_20161222,JCXFE_20170127,JCXFE_20170228,JCXFE_20170330,JCXFE_20170428,JCXFE_20170526,JCXFE_20170629,JCXFE_20170728,JCXFE_20170830,JCXFE_20170928,JCXFE_20171027,JCXFE_20171129,JCXFE_20171221,JCXFE_20180126,JCXFE_20180228,JCXFE_20180427,JCXFE_20180530,JCXFE_20180628,JCXFE_20180727,JCXFE_20180829,JCXFE_20180927,JCXFE_20181026,JCXFE_20181128,JCXFE_20181221,JCXFE_20190228,JCXFE_20190328,JCXFE_20190426,JCXFE_20190530,JCXFE_20190627,JCXFE_20190726,JCXFE_20190829,JCXFE_20190926,JCXFE_20191030,JCXFE_20191127,JCXFE_20191220,JCXFE_20200130,JCXFE_20200227,JCXFE_20200326,JCXFE_20200429,JCXFE_20200528,JCXFE_20200625,JCXFE_20200730,JCXFE_20200827,JCXFE_20200930,JCXFE_20201029,JCXFE_20201125,JCXFE_20201222,JCXFE_20210128
1959-01-01,,,,22.2,22.2,22.2,22.2,22.2,22.2,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,20.874,,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.531,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,17.611,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742,16.742
1959-04-01,,,,22.31,22.31,22.31,22.31,22.31,22.31,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.625,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,18.634,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,17.701,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832,16.832
1959-07-01,23.339,23.339,23.339,22.45,22.45,22.45,22.45,22.45,22.45,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,21.085,,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.747,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,18.756,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,17.816,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944,16.944
1959-10-01,23.455,23.455,23.455,22.59,22.59,22.59,22.59,22.59,22.59,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.26,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,21.205,,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.855,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,18.864,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042,17.042
1960-01-01,23.51,23.51,23.51,22.64,22.64,22.64,22.64,22.64,22.64,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.32,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,21.257,,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.915,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,18.924,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.976,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095,17.095
1960-04-01,23.618,23.618,23.618,22.73,22.73,22.73,22.73,22.73,22.73,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,21.341,,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.988,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.997,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,18.045,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16
1960-07-01,23.718,23.718,23.718,22.82,22.82,22.82,22.82,22.82,22.82,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426,,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.065,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,19.074,18.117,18.117,18.117,18.117,18.117,18.117,18.117,18.117,18.117,18.117,18.117,18.117,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,18.118,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227,17.227
1960-10-01,23.815,23.815,23.815,22.91,22.91,22.91,22.91,22.91,22.91,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,21.505,,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.128,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,19.137,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,18.178,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284,17.284
1961-01-01,23.872,23.872,23.872,22.95,22.95,22.95,22.95,22.95,22.95,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,21.534,,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,19.169,18.208,18.208,18.208,18.208,18.208,18.208,18.208,18.208,18.208,18.208,18.208,18.208,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,18.209,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313,17.313
1961-04-01,23.937,23.937,23.937,23.02,23.02,23.02,23.02,23.02,23.02,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.224,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,19.233,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37,17.37
