Date,lftd,ftd,lftd2,ftd2,lr,r
2/2/2000,0,1,0,1,5.5,5.75
3/21/2000,1,1,1,1,5.75,6
5/16/2000,1,1,1,2,6,6.5
6/28/2000,1,0,2,0,6.5,6.5
8/22/2000,0,0,0,0,6.5,6.5
10/3/2000,0,0,0,0,6.5,6.5
11/15/2000,0,0,0,0,6.5,6.5
12/19/2000,0,0,0,0,6.5,6.5
1/3/2001,0,-1,0,-2,6.5,6
1/31/2001,-1,-1,-2,-2,6,5.5
3/20/2001,-1,-1,-2,-2,5.5,5
4/18/2001,-1,-1,-2,-2,5,4.5
5/15/2001,-1,-1,-2,-2,4.5,4
6/27/2001,-1,-1,-2,-1,4,3.75
8/21/2001,-1,-1,-1,-1,3.75,3.5
9/17/2001,-1,-1,-1,-2,3.5,3
10/2/2001,-1,-1,-2,-2,3,2.5
11/6/2001,-1,-1,-2,-2,2.5,2
12/11/2001,-1,-1,-2,-1,2,1.75
1/30/2002,-1,0,-1,0,1.75,1.75
3/19/2002,0,0,0,0,1.75,1.75
5/7/2002,0,0,0,0,1.75,1.75
6/26/2002,0,0,0,0,1.75,1.75
8/13/2002,0,0,0,0,1.75,1.75
9/24/2002,0,0,0,0,1.75,1.75
11/6/2002,0,-1,0,-2,1.75,1.25
12/10/2002,-1,0,-2,0,1.25,1.25
1/29/2003,0,0,0,0,1.25,1.25
3/18/2003,0,0,0,0,1.25,1.25
5/6/2003,0,0,0,0,1.25,1.25
6/25/2003,0,-1,0,-1,1.25,1
8/12/2003,-1,0,-1,0,1,1
9/16/2003,0,0,0,0,1,1
10/28/2003,0,0,0,0,1,1
12/9/2003,0,0,0,0,1,1
1/28/2004,0,0,0,0,1,1
3/16/2004,0,0,0,0,1,1
5/4/2004,0,0,0,0,1,1
6/30/2004,0,1,0,1,1,1.25
8/10/2004,1,1,1,1,1.25,1.5
9/21/2004,1,1,1,1,1.5,1.75
11/10/2004,1,1,1,1,1.75,2
12/14/2004,1,1,1,1,2,2.25
2/2/2005,1,1,1,1,2.25,2.5
3/22/2005,1,1,1,1,2.5,2.75
5/3/2005,1,1,1,1,2.75,3
6/30/2005,1,1,1,1,3,3.25
8/9/2005,1,1,1,1,3.25,3.5
9/20/2005,1,1,1,1,3.5,3.75
11/1/2005,1,1,1,1,3.75,4
12/13/2005,1,1,1,1,4,4.25
1/31/2006,1,1,1,1,4.25,4.5
3/28/2006,1,1,1,1,4.5,4.75
5/10/2006,1,1,1,1,4.75,5
6/29/2006,1,1,1,1,5,5.25
8/8/2006,1,0,1,0,5.25,5.25
9/20/2006,0,0,0,0,5.25,5.25
10/25/2006,0,0,0,0,5.25,5.25
12/12/2006,0,0,0,0,5.25,5.25
1/31/2007,0,0,0,0,5.25,5.25
3/21/2007,0,0,0,0,5.25,5.25
5/9/2007,0,0,0,0,5.25,5.25
6/28/2007,0,0,0,0,5.25,5.25
8/7/2007,0,0,0,0,5.25,5.25
8/10/2007,0,0,0,0,5.25,5.25
8/16/2007,0,0,0,0,5.25,5.25
9/18/2007,0,-1,0,-2,5.25,4.75
10/31/2007,-1,-1,-2,-1,4.75,4.5
12/11/2007,-1,-1,-1,-1,4.5,4.25
1/21/2008,-1,0,-1,0,4.25,4.25
1/30/2008,0,-1,0,-2,3.5,3
3/10/2008,-1,0,-2,0,3,3
3/18/2008,0,-1,0,-3,3,2.25
4/30/2008,-1,-1,-3,-1,2.25,2
6/25/2008,-1,0,-1,0,2,2
8/5/2008,0,0,0,0,2,2
10/7/2008,0,0,0,0,2,2
10/29/2008,0,-1,0,-2,1.5,1
12/16/2008,-1,-1,-2,-3,1,0.25
1/28/2009,-1,0,-3,0,0.25,0.25
3/18/2009,0,0,0,0,0.25,0.25
4/29/2009,0,0,0,0,0.25,0.25
6/24/2009,0,0,0,0,0.25,0.25
8/12/2009,0,0,0,0,0.25,0.25
9/23/2009,0,0,0,0,0.25,0.25
11/4/2009,0,0,0,0,0.25,0.25
12/16/2009,0,0,0,0,0.25,0.25
1/27/2010,0,0,0,0,0.25,0.25
3/16/2010,0,0,0,0,0.25,0.25
4/28/2010,0,0,0,0,0.25,0.25
5/9/2010,0,0,0,0,0.25,0.25
6/23/2010,0,0,0,0,0.25,0.25
8/10/2010,0,0,0,0,0.25,0.25
9/21/2010,0,0,0,0,0.25,0.25
11/3/2010,0,0,0,0,0.25,0.25
12/14/2010,0,0,0,0,0.25,0.25
1/26/2011,0,0,0,0,0.25,0.25
3/15/2011,0,0,0,0,0.25,0.25
4/27/2011,0,0,0,0,0.25,0.25
6/22/2011,0,0,0,0,0.25,0.25
8/9/2011,0,0,0,0,0.25,0.25
9/21/2011,0,0,0,0,0.25,0.25
11/2/2011,0,0,0,0,0.25,0.25
12/13/2011,0,0,0,0,0.25,0.25
1/25/2012,0,0,0,0,0.25,0.25
3/13/2012,0,0,0,0,0.25,0.25
4/25/2012,0,0,0,0,0.25,0.25
6/20/2012,0,0,0,0,0.25,0.25
8/1/2012,0,0,0,0,0.25,0.25
9/13/2012,0,0,0,0,0.25,0.25
10/24/2012,0,0,0,0,0.25,0.25
12/12/2012,0,0,0,0,0.25,0.25
1/30/2013,0,0,0,0,0.25,0.25
3/20/2013,0,0,0,0,0.25,0.25
5/1/2013,0,0,0,0,0.25,0.25
6/19/2013,0,0,0,0,0.25,0.25
7/31/2013,0,0,0,0,0.25,0.25
9/18/2013,0,0,0,0,0.25,0.25
10/30/2013,0,0,0,0,0.25,0.25
12/18/2013,0,0,0,0,0.25,0.25
1/29/2014,0,0,0,0,0.25,0.25
3/19/2014,0,0,0,0,0.25,0.25
4/30/2014,0,0,0,0,0.25,0.25
6/18/2014,0,0,0,0,0.25,0.25
7/30/2014,0,0,0,0,0.25,0.25
9/17/2014,0,0,0,0,0.25,0.25
10/29/2014,0,0,0,0,0.25,0.25
12/17/2014,0,0,0,0,0.25,0.25
1/28/2015,0,0,0,0,0.25,0.25
3/18/2015,0,0,0,0,0.25,0.25
4/29/2015,0,0,0,0,0.25,0.25
6/17/2015,0,0,0,0,0.25,0.25
7/29/2015,0,0,0,0,0.25,0.25
9/17/2015,0,0,0,0,0.25,0.25
10/28/2015,0,0,0,0,0.25,0.25
