observation_dates,RGDP1,RGDP2,RGDP3
11/30/1999,8882.7256,8966.9457,9014.7113
2/29/2000,9026.9,9093.8239,9165.693
5/31/2000,9156.3176,9250.737,9334.1537
8/31/2000,9308.8,9383.5098,9462.1518
11/30/2000,9382.6676,9457.257,9531.4634
2/28/2001,9401.5143,9420.352,9466.3473
5/31/2001,9439.6606,9466.8362,9515.2988
8/31/2001,9351.3091,9384.4337,9443.4095
11/30/2001,9333.0414,9286.2684,9291.0006
2/28/2002,9315.6,9347.135,9406.1154
5/31/2002,9482.1771,9541.7795,9616.2119
8/31/2002,9387.9029,9443.6544,9508.851
11/30/2002,9465.0706,9501.1476,9561.1909
2/28/2003,9503.2,9552.6281,9615.7709
5/31/2003,9556.0,9595.1962,9672.8925
8/31/2003,9608.5967,9697.2601,9785.6042
11/30/2003,9797.5824,9893.5308,9991.6076
2/29/2004,10596.6531,10711.9317,10824.6371
5/31/2004,10709.3993,10825.8137,10936.9765
8/31/2004,10776.3496,10867.6947,10972.3868
11/30/2004,10883.4,10981.9039,11077.84
2/14/2005,10976.3,11078.115,11178.4733
5/14/2005,11078.5261,11160.0912,11254.4412
8/14/2005,11092.0,11205.3172,11300.8125
11/14/2005,11193.2,11281.6438,11378.6482
2/14/2006,11233.7935,11347.6059,11442.8967
5/14/2006,11381.6323,11473.7456,11560.7565
8/14/2006,11385.6275,11464.7449,11543.7573
11/14/2006,11433.2763,11504.1357,11580.0471
2/14/2007,11541.6,11614.3696,11690.3781
5/14/2007,11549.1736,11618.2559,11690.0171
8/14/2007,11507.902,11582.0852,11656.7397
11/14/2007,11630.7,11682.1181,11740.0324
2/14/2008,11677.4,11696.6634,11733.8693
5/14/2008,11693.1,11695.4279,11758.3669
8/14/2008,11701.5574,11740.6447,11760.3386
11/14/2008,11719.8627,11641.891,11609.1735
2/14/2009,11599.4,11454.3828,11410.5455
5/14/2009,11341.9531,11304.6072,11320.3925
8/14/2009,12892.4,12966.3533,13040.4931
11/14/2009,13013.6341,13097.0392,13180.9435
2/14/2010,13155.0,13240.6948,13335.2563
5/14/2010,13254.7,13363.6142,13466.1116
8/14/2010,13216.5028,13295.5068,13385.7202
11/14/2010,13260.7,13333.863,13415.1512
2/14/2011,13383.0163,13499.8574,13615.5691
5/14/2011,13438.8032,13546.2832,13658.6801
8/14/2011,13270.1027,13353.6461,13432.5397
11/14/2011,13351.925,13434.6538,13512.464
2/14/2012,13422.6578,13497.2652,13577.7855
5/14/2012,13502.4,13582.4117,13668.2149
8/14/2012,13558.0,13616.7236,13694.6018
11/14/2012,13616.2,13678.3855,13734.206
2/14/2013,13648.3978,13725.4991,13802.2448
5/14/2013,13750.1,13811.8784,13892.8186
8/14/2013,15650.1293,15741.0902,15841.4135
11/14/2013,15789.7975,15862.0167,15961.5372
2/14/2014,15965.4256,16046.3458,16153.7323
5/14/2014,15946.7244,16073.914,16192.7071
8/14/2014,15985.7,16102.6746,16224.1351
11/14/2014,16150.2822,16259.6652,16369.3818
2/14/2015,16312.7069,16421.6841,16537.8303
5/14/2015,16303.9576,16405.3669,16529.9738
8/14/2015,16270.4,16384.4329,16499.2495
11/14/2015,16394.2,16504.0535,16608.8444
2/14/2016,16442.3,16524.9127,16623.6387
5/14/2016,16492.7012,16581.1867,16677.6357
8/14/2016,16575.0995,16690.0322,16787.4434
11/14/2016,16701.5725,16792.3481,16884.5497
2/14/2017,16804.8,16901.2729,16998.3353
5/14/2017,16842.4,16972.582,17081.4914
8/14/2017,17010.6995,17125.024,17226.5406
11/14/2017,17156.9,17270.1639,17371.2293
2/14/2018,17272.5,17403.1961,17524.9914
5/14/2018,17385.8,17522.0439,17649.2543
8/14/2018,18507.2,18645.9167,18776.3331
11/14/2018,18671.5,18792.3408,18905.3052
2/14/2019,18784.6,18857.9338,18975.6626
5/14/2019,18912.3,19000.292,19103.4327
8/14/2019,19023.8006,19110.2483,19204.5459
11/14/2019,19112.5011,19193.7429,19283.0372
2/14/2020,19219.7982,19299.8127,19401.278
5/14/2020,18987.8989,17258.0194,17667.7041
8/14/2020,17205.8007,17981.5416,18224.0035
11/14/2020,18583.9996,18791.5451,18949.7361
