Period,RGDP1,RGDP2,RGDP3,gdp+1,gdp+2,,,,fomc_date,,
2/28/2001,9439.6606,9466.8362,9515.2988,0.28789%,0.51192%,,,,2/2/2000,#N/A,#N/A
5/31/2001,9351.3091,9384.4337,9443.4095,0.35422%,0.62844%,,,,3/21/2000,#N/A,#N/A
8/31/2001,9333.0414,9286.2684,9291.0006,-0.50115%,0.05096%,,,,5/16/2000,#N/A,#N/A
11/30/2001,9315.6,9347.135,9406.1154,0.33852%,0.63100%,,,,6/28/2000,#N/A,#N/A
2/28/2002,9482.1771,9541.7795,9616.2119,0.62857%,0.78007%,,,,8/22/2000,#N/A,#N/A
5/31/2002,9387.9029,9443.6544,9508.851,0.59387%,0.69037%,,,,10/3/2000,#N/A,#N/A
8/31/2002,9465.0706,9501.1476,9561.1909,0.38116%,0.63196%,,,,11/15/2000,#N/A,#N/A
11/30/2002,9503.2,9552.6281,9615.7709,0.52012%,0.66100%,,,,12/19/2000,#N/A,#N/A
2/28/2003,9556,9595.1962,9672.8925,0.41017%,0.80974%,,,,1/3/2001,#N/A,#N/A
5/31/2003,9608.5967,9697.2601,9785.6042,0.92275%,0.91102%,,,,1/31/2001,#N/A,#N/A
8/31/2003,9797.5824,9893.5308,9991.6076,0.97931%,0.99132%,,,,3/20/2001,0.002878875,0.005119197
11/30/2003,10596.6531,10711.9317,10824.6371,1.08788%,1.05215%,,,,4/18/2001,0.002878875,0.005119197
2/29/2004,10709.3993,10825.8137,10936.9765,1.08703%,1.02683%,,,,5/15/2001,0.002878875,0.005119197
5/31/2004,10776.3496,10867.6947,10972.3868,0.84764%,0.96333%,,,,6/27/2001,0.003542242,0.006284428
8/31/2004,10883.4,10981.9039,11077.84,0.90508%,0.87358%,,,,8/21/2001,0.003542242,0.006284428
11/30/2004,10976.3,11078.115,11178.4733,0.92759%,0.90591%,,,,9/17/2001,-0.00501155,0.000509591
2/14/2005,11078.5261,11160.0912,11254.4412,0.73625%,0.84542%,,,,10/2/2001,-0.00501155,0.000509591
5/14/2005,11092,11205.3172,11300.8125,1.02161%,0.85223%,,,,11/6/2001,-0.00501155,0.000509591
8/14/2005,11193.2,11281.6438,11378.6482,0.79016%,0.85984%,,,,12/11/2001,0.003385182,0.006309998
11/14/2005,11233.7935,11347.6059,11442.8967,1.01313%,0.83974%,,,,1/30/2002,0.003385182,0.006309998
2/14/2006,11381.6323,11473.7456,11560.7565,0.80932%,0.75835%,,,,3/19/2002,0.006285729,0.007800683
5/14/2006,11385.6275,11464.7449,11543.7573,0.69489%,0.68918%,,,,5/7/2002,0.006285729,0.007800683
8/14/2006,11433.2763,11504.1357,11580.0471,0.61976%,0.65986%,,,,6/26/2002,0.005938653,0.006903747
11/14/2006,11541.6,11614.3696,11690.3781,0.63050%,0.65444%,,,,8/13/2002,0.005938653,0.006903747
2/14/2007,11549.1736,11618.2559,11690.0171,0.59816%,0.61766%,,,,9/24/2002,0.003811593,0.006319584
5/14/2007,11507.902,11582.0852,11656.7397,0.64463%,0.64457%,,,,11/6/2002,0.003811593,0.006319584
